,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1308,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,10,100,mixedType,0,1,0,1,0,9,4,0,4,0
1309,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,11,90,mixedType,0,1,0,1,0,10,5,0,5,0
1310,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,12,100,mixedType,0,1,0,1,0,11,6,0,6,0
1311,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,13,100,mixedType,0,1,0,1,0,12,7,0,7,0
1312,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,14,90,mixedType,0,1,0,1,0,13,8,0,8,0
1313,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,15,100,mixedType,0,1,0,1,0,14,9,0,9,0
1314,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,16,100,mixedType,0,1,0,1,0,15,10,0,10,0
1315,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,17,100,mixedType,0,1,0,1,0,16,11,0,11,0
1316,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,1,30,mixedType,0,1,0,0,0,0,-9,0,0,0
1317,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,2,30,mixedType,0,1,0,0,0,1,-8,0,0,0
1318,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,3,20,mixedType,0,1,0,0,0,2,-7,0,0,0
1319,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,4,40,mixedType,0,1,0,0,0,3,-6,0,0,0
1320,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,5,30,mixedType,0,1,0,0,0,4,-5,0,0,0
1321,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,6,30,mixedType,0,1,0,0,0,5,-4,0,0,0
1322,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,7,10,mixedType,0,1,0,0,0,6,-3,0,0,0
1323,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,8,10,mixedType,0,1,0,0,0,7,-2,0,0,0
1324,Marsh & Cooke (1996),11,multiBase,1,0,1,2,A,1,0,0,9,20,mixedType,0,1,0,0,0,8,-1,0,0,0
1325,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,10,80,mixedType,0,1,0,1,0,9,0,0,0,0
1326,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,11,90,mixedType,0,1,0,1,0,10,1,0,1,0
1327,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,12,100,mixedType,0,1,0,1,0,11,2,0,2,0
1328,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,13,100,mixedType,0,1,0,1,0,12,3,0,3,0
1329,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,14,90,mixedType,0,1,0,1,0,13,4,0,4,0
1330,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,15,100,mixedType,0,1,0,1,0,14,5,0,5,0
1331,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,16,90,mixedType,0,1,0,1,0,15,6,0,6,0
1332,Marsh & Cooke (1996),11,multiBase,1,0,1,2,B,0,1,0,17,90,mixedType,0,1,0,1,0,16,7,0,7,0
1333,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,1,20,mixedType,0,1,0,0,0,0,-13,0,0,0
1334,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,2,20,mixedType,0,1,0,0,0,1,-12,0,0,0
1335,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,3,20,mixedType,0,1,0,0,0,2,-11,0,0,0
1336,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,4,30,mixedType,0,1,0,0,0,3,-10,0,0,0
1337,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,5,10,mixedType,0,1,0,0,0,4,-9,0,0,0
1338,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,6,20,mixedType,0,1,0,0,0,5,-8,0,0,0
1339,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,7,10,mixedType,0,1,0,0,0,6,-7,0,0,0
1340,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,8,20,mixedType,0,1,0,0,0,7,-6,0,0,0
1341,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,9,20,mixedType,0,1,0,0,0,8,-5,0,0,0
1342,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,10,20,mixedType,0,1,0,0,0,9,-4,0,0,0
1343,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,11,20,mixedType,0,1,0,0,0,10,-3,0,0,0
1344,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,12,10,mixedType,0,1,0,0,0,11,-2,0,0,0
1345,Marsh & Cooke (1996),11,multiBase,1,0,1,3,A,1,0,0,13,20,mixedType,0,1,0,0,0,12,-1,0,0,0
1346,Marsh & Cooke (1996),11,multiBase,1,0,1,3,B,0,1,0,14,90,mixedType,0,1,0,1,0,13,0,0,0,0
1347,Marsh & Cooke (1996),11,multiBase,1,0,1,3,B,0,1,0,15,90,mixedType,0,1,0,1,0,14,1,0,1,0
1348,Marsh & Cooke (1996),11,multiBase,1,0,1,3,B,0,1,0,16,90,mixedType,0,1,0,1,0,15,2,0,2,0
1349,Marsh & Cooke (1996),11,multiBase,1,0,1,3,B,0,1,0,17,90,mixedType,0,1,0,1,0,16,3,0,3,0
1350,Montague (1992),12,multiProbe,0,1,1,1,A,1,0,0,1,40,mixedType,0,1,0,0,0,0,-3,-21,0,0
1351,Montague (1992),12,multiProbe,0,1,1,1,A,1,0,0,2,60,mixedType,0,1,0,0,0,1,-2,-20,0,0
1352,Montague (1992),12,multiProbe,0,1,1,1,A,1,0,0,3,30,mixedType,0,1,0,0,0,2,-1,-19,0,0
1353,Montague (1992),12,multiProbe,0,1,1,1,B,0,1,0,4,50,mixedType,0,1,0,1,0,3,0,-18,0,0
1354,Montague (1992),12,multiProbe,0,1,1,1,B,0,1,0,5,60,mixedType,0,1,0,1,0,4,1,-17,1,0
1355,Montague (1992),12,multiProbe,0,1,1,1,B,0,1,0,6,50,mixedType,0,1,0,1,0,5,2,-16,2,0
1356,Montague (1992),12,multiProbe,0,1,1,1,B,0,1,0,7,40,mixedType,0,1,0,1,0,6,3,-15,3,0
1357,Montague (1992),12,multiProbe,0,1,1,1,B,0,1,0,8,70,mixedType,0,1,0,1,0,7,4,-14,4,0
